city,state,incidents,victims,gva_incidents,POP_TEENS,POP_TOTAL,victimrate_over_teens,victimrate_over_total,incidentrate_over_teens,incidentrate_over_total,gvarate_over_teens,gvarate_over_total
Oceanside,California,1,1,30,13416,175691,2.12965329244399e-5,1.6262317689254754e-6,2.12965329244399e-5,1.6262317689254754e-6,0.0022361359570661895,1.7075433573717492e-4
Port St. Lucie,Florida,1,1,41,14367,179413,1.9886843858445444e-5,1.5924948900820215e-6,1.9886843858445444e-5,1.5924948900820215e-6,0.002853762093686921,2.2852301672677007e-4
Overland Park,Kansas,1,1,28,14813,186515,1.9288077075155993e-5,1.5318568786118313e-6,1.9288077075155993e-5,1.5318568786118313e-6,0.0018902315533652872,1.5012197410395946e-4
Hialeah,Florida,1,1,45,15625,237069,1.8285714285714284e-5,1.2051946298937682e-6,1.8285714285714284e-5,1.2051946298937682e-6,0.00288,1.898181542082685e-4
Rancho Cucamonga,California,1,1,10,16195,175236,1.7642129405019186e-5,1.6304542771707052e-6,1.7642129405019186e-5,1.6304542771707052e-6,6.174745291756715e-4,5.706589970097469e-5
Irving,Texas,1,1,21,16561,236607,1.7252236321133127e-5,1.2075478988968446e-6,1.7252236321133127e-5,1.2075478988968446e-6,0.001268039369603285,8.875477056891808e-5
Palmdale,California,1,1,29,19087,158351,1.4969051486052585e-5,1.8043099551899622e-6,1.4969051486052585e-5,1.8043099551899622e-6,0.0015193587258343375,1.8313746045178116e-4
Chandler,Arizona,1,1,23,21308,260828,1.3408780069189305e-5,1.0954126309839654e-06,1.3408780069189305e-5,1.0954126309839654e-06,0.001079406795569739,8.81807167942092e-5
El Paso,Texas,3,3,185,65296,681124,1.3127034690377009e-5,1.2584241006672164e-6,1.3127034690377009e-5,1.2584241006672164e-6,0.002833251654006371,2.7160986839400755e-4
St. Louis,Missouri,1,1,8,22420,315685,1.2743723716069835e-5,9.050613292183212e-7,1.2743723716069835e-5,9.050613292183212e-7,3.568242640499554e-4,2.534171721811299e-5
Riverside,California,1,1,65,28937,322424,9.873666437926727e-6,8.861445975308467e-7,9.873666437926727e-6,8.861445975308467e-7,0.0022462591146283307,2.0159789593826761e-4
Mesa,Arizona,1,1,74,36768,471825,7.770732313813253e-6,6.055513923897329e-7,7.770732313813253e-6,6.055513923897329e-7,0.0020126196692776327,1.5683781062894082e-4
